"","Year","Qtr","Kerala"
"1",1956,1,799
"2",1956,2,NA
"3",1956,3,180
"4",1956,4,4086
"5",1957,1,13284
"6",1957,2,3012
"7",1957,3,18157
"8",1957,4,141398
"9",1958,1,71207
"10",1958,2,12089
"11",1958,3,8047
"12",1958,4,27628
"13",1959,1,33615
"14",1959,2,5657
"15",1959,3,5233
"16",1959,4,17531
"17",1960,1,8068
"18",1960,2,1528
"19",1960,3,28802
"20",1960,4,147821
"21",1961,1,66009
"22",1961,2,17968
"23",1961,3,10496
"24",1961,4,71532
"25",1962,1,35070
"26",1962,2,5583
"27",1962,3,4858
"28",1962,4,45692
"29",1963,1,26844
"30",1963,2,6750
"31",1963,3,3560
"32",1963,4,21796
"33",1964,1,20923
"34",1964,2,1008
"35",1964,3,33604
"36",1964,4,134866
"37",1965,1,92424
"38",1965,2,20626
"39",1965,3,33225
"40",1965,4,72895
"41",1966,1,37457
"42",1966,2,14353
"43",1966,3,57688
"44",1966,4,93302
"45",1967,1,70960
"46",1967,2,11664
"47",1967,3,27843
"48",1967,4,124943
"49",1968,1,47319
"50",1968,2,4213
"51",1968,3,57895
"52",1968,4,137621
"53",1969,1,34655
"54",1969,2,5374
"55",1969,3,14988
"56",1969,4,84966
"57",1970,1,30986
"58",1970,2,27244
"59",1970,3,46981
"60",1970,4,86472
"61",1971,1,86150
"62",1971,2,7317
"63",1971,3,19378
"64",1971,4,82152
"65",1972,1,40907
"66",1972,2,21566
"67",1972,3,11710
"68",1972,4,30243
"69",1973,1,27884
"70",1973,2,20701
"71",1973,3,18963
"72",1973,4,55285
"73",1974,1,18594
"74",1974,2,20623
"75",1974,3,15269
"76",1974,4,47649
"77",1975,1,41684
"78",1975,2,15932
"79",1975,3,12409
"80",1975,4,27158
"81",1976,1,29078
"82",1976,2,19749
"83",1976,3,9173
"84",1976,4,65937
"85",1977,1,22033
"86",1977,2,20620
"87",1977,3,17084
"88",1977,4,57519
"89",1978,1,19873
"90",1978,2,7633
"91",1978,3,16836
"92",1978,4,75595
"93",1979,1,27340
"94",1979,2,10665
"95",1979,3,25578
"96",1979,4,53251
"97",1980,1,23766
"98",1980,2,14401
"99",1980,3,5952
"100",1980,4,25548
"101",1981,1,19768
"102",1981,2,9225
"103",1981,3,29520
"104",1981,4,88473
"105",1982,1,45012
"106",1982,2,18998
"107",1982,3,28629
"108",1982,4,50576
"109",1983,1,61285
"110",1983,2,20977
"111",1983,3,6463
"112",1983,4,66154
"113",1984,1,56146
"114",1984,2,26054
"115",1984,3,14082
"116",1984,4,50857
"117",1985,1,37235
"118",1985,2,6881
"119",1985,3,19244
"120",1985,4,15865
"121",1986,1,31184
"122",1986,2,659
"123",1986,3,189
"124",1986,4,8581
"125",1987,1,1262
"126",1987,2,723
"127",1987,3,31540
"128",1987,4,11192
"129",1988,1,1304
"130",1988,2,1540
"131",1988,3,18905
"132",1988,4,38759
"133",1989,1,37496
"134",1989,2,16073
"135",1989,3,74671
"136",1989,4,56639
"137",1990,1,38137
"138",1990,2,28726
"139",1990,3,58066
"140",1990,4,54347
"141",1991,1,44562
"142",1991,2,37468
"143",1991,3,13165
"144",1991,4,11068
"145",1992,1,22620
"146",1992,2,9796
"147",1992,3,6634
"148",1992,4,15068
"149",1993,1,4495
"150",1993,2,11505
"151",1993,3,16211
"152",1993,4,17464
"153",1994,1,483
"154",1994,2,340
"155",1994,3,368
"156",1994,4,363
"157",1995,1,351
"158",1995,2,32
"159",1995,3,3889
"160",1995,4,9056
"161",1996,1,6817
"162",1996,2,1462
"163",1996,3,10871
"164",1996,4,11457
"165",1997,1,30188
"166",1997,2,18305
"167",1997,3,14906
"168",1997,4,30237
"169",1998,1,8559
"170",1998,2,13444
"171",1998,3,24021
"172",1998,4,31771
"173",1999,1,24118
"174",1999,2,15005
"175",1999,3,49027
"176",1999,4,55002
"177",2000,1,39106
"178",2000,2,69019
"179",2000,3,81475
"180",2000,4,51811
"181",2001,1,20965
"182",2001,2,42044
"183",2001,3,48135
"184",2001,4,46193
"185",2002,1,20474
"186",2002,2,35579
"187",2002,3,69350
"188",2002,4,94065
"189",2003,1,65600
"190",2003,2,48055
"191",2003,3,50488
"192",2003,4,100229
"193",2004,1,44808
"194",2004,2,25467
"195",2004,3,62011
"196",2004,4,92420
"197",2005,1,54138
"198",2005,2,28532
"199",2005,3,54729
"200",2005,4,81397
"201",2006,1,54077
"202",2006,2,42878
"203",2006,3,49318
"204",2006,4,79995
"205",2007,1,63258
"206",2007,2,38702
"207",2007,3,59734
"208",2007,4,88608
"209",2008,1,75024
"210",2008,2,32297
"211",2008,3,63362
"212",2008,4,60943
"213",2009,1,38634
"214",2009,2,14852
"215",2009,3,74227
"216",2009,4,39716
"217",2010,1,67473
"218",2010,2,31302
"219",2010,3,41522
"220",2010,4,119046
"221",2011,1,94487
"222",2011,2,60646
"223",2011,3,60259
"224",2011,4,106710
"225",2012,1,88556
"226",2012,2,44914
"227",2012,3,121986
"228",2012,4,144330
"229",2013,1,107677
"230",2013,2,58013
"231",2013,3,20374
"232",2013,4,60777
"233",2014,1,28199
"234",2014,2,18519
"235",2014,3,47073
"236",2014,4,61296
"237",2015,1,19902
"238",2015,2,9412
"239",2015,3,26911
"240",2015,4,12206
"241",2016,1,NA
"242",2016,2,NA
"243",2016,3,NA
"244",2016,4,NA
"245",2017,1,NA
"246",2017,2,NA
"247",2017,3,NA
"248",2017,4,NA
